id,difficulty,category,question,gold_sparql
1,simple,class_retrieval,List all products in the Northwind database.,"PREFIX nw: <http://example.org/northwind#> SELECT ?product WHERE { ?product a nw:Product . }"
2,simple,class_retrieval,List all customers.,"PREFIX nw: <http://example.org/northwind#> SELECT ?customer WHERE { ?customer a nw:Customer . }"
3,simple,class_retrieval,List all orders.,"PREFIX nw: <http://example.org/northwind#> SELECT ?order WHERE { ?order a nw:Order . }"
4,simple,class_retrieval,List all employees.,"PREFIX nw: <http://example.org/northwind#> SELECT ?employee WHERE { ?employee a nw:Employee . }"
5,simple,class_retrieval,List all categories.,"PREFIX nw: <http://example.org/northwind#> SELECT ?category WHERE { ?category a nw:Category . }"
6,simple,class_retrieval,List all customers located in Germany.,"PREFIX nw: <http://example.org/northwind#> SELECT ?customer WHERE { ?customer a nw:Customer ; nw:country ""Germany"" . }"
7,simple,class_retrieval,List all suppliers from the USA.,"PREFIX nw: <http://example.org/northwind#> SELECT ?supplier WHERE { ?supplier a nw:Supplier ; nw:country ""USA"" . }"
8,simple,class_retrieval,List all territories in the Eastern region.,"PREFIX nw: <http://example.org/northwind#> SELECT ?territory WHERE { ?territory a nw:Territory ; nw:inRegion nw:region_1 . }"
9,simple,class_retrieval,List all shippers.,"PREFIX nw: <http://example.org/northwind#> SELECT ?shipper WHERE { ?shipper a nw:Shipper . }"
10,simple,class_retrieval,List all discontinued products.,"PREFIX nw: <http://example.org/northwind#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT ?product WHERE { ?product a nw:Product ; nw:discontinued ""true""^^xsd:boolean . }"
11,simple,property_lookup,What is the contact name for customer ALFKI?,"PREFIX nw: <http://example.org/northwind#> SELECT ?name WHERE { nw:customer_ALFKI nw:contactName ?name . }"
12,simple,property_lookup,Which category does the product Chai belong to?,"PREFIX nw: <http://example.org/northwind#> SELECT ?catName WHERE { nw:product_1 nw:belongsToCategory ?cat . ?cat nw:categoryName ?catName . }"
13,simple,property_lookup,What is the unit price of Chang?,"PREFIX nw: <http://example.org/northwind#> SELECT ?price WHERE { nw:product_2 nw:productUnitPrice ?price . }"
14,simple,property_lookup,What is the company name of supplier 1?,"PREFIX nw: <http://example.org/northwind#> SELECT ?name WHERE { nw:supplier_1 nw:companyName ?name . }"
15,simple,property_lookup,What is the job title of employee Nancy Davolio?,"PREFIX nw: <http://example.org/northwind#> SELECT ?title WHERE { nw:employee_1 nw:title ?title . }"
16,simple,property_lookup,What is the freight cost for order 10643?,"PREFIX nw: <http://example.org/northwind#> SELECT ?freight WHERE { nw:order_10643 nw:freight ?freight . }"
17,simple,property_lookup,What city does customer BERGS reside in?,"PREFIX nw: <http://example.org/northwind#> SELECT ?city WHERE { nw:customer_BERGS nw:city ?city . }"
18,simple,property_lookup,What is the description of the Beverages category?,"PREFIX nw: <http://example.org/northwind#> SELECT ?desc WHERE { nw:category_1 nw:description ?desc . }"
19,simple,property_lookup,What is the phone number of the shipper Speedy Express?,"PREFIX nw: <http://example.org/northwind#> SELECT ?phone WHERE { nw:shipper_1 nw:phone ?phone . }"
20,simple,property_lookup,What is the hire date of employee Andrew Fuller?,"PREFIX nw: <http://example.org/northwind#> SELECT ?hireDate WHERE { nw:employee_2 nw:hireDate ?hireDate . }"
21,medium,single_hop,Which employee handled order 10643?,"PREFIX nw: <http://example.org/northwind#> SELECT ?empName WHERE { nw:order_10643 nw:handledBy ?emp . ?emp nw:firstName ?fn . ?emp nw:lastName ?ln . BIND(CONCAT(?fn, "" "", ?ln) AS ?empName) }"
22,medium,single_hop,What products does supplier Exotic Liquids supply?,"PREFIX nw: <http://example.org/northwind#> SELECT ?prodName WHERE { ?product nw:suppliedBy nw:supplier_1 ; nw:productName ?prodName . }"
23,medium,single_hop,Which customer placed order 10278?,"PREFIX nw: <http://example.org/northwind#> SELECT ?compName WHERE { nw:order_10278 nw:placedBy ?cust . ?cust nw:companyName ?compName . }"
24,medium,single_hop,Which shipper delivered order 10444?,"PREFIX nw: <http://example.org/northwind#> SELECT ?shipperName WHERE { nw:order_10444 nw:shippedBy ?shipper . ?shipper nw:companyName ?shipperName . }"
25,medium,single_hop,List all products in the Condiments category.,"PREFIX nw: <http://example.org/northwind#> SELECT ?prodName WHERE { ?product nw:belongsToCategory nw:category_2 ; nw:productName ?prodName . }"
26,medium,single_hop,Which orders were placed by customer ALFKI?,"PREFIX nw: <http://example.org/northwind#> SELECT ?orderID WHERE { ?order nw:placedBy nw:customer_ALFKI ; nw:orderID ?orderID . }"
27,medium,single_hop,Who does employee Nancy Davolio report to?,"PREFIX nw: <http://example.org/northwind#> SELECT ?fn ?ln WHERE { nw:employee_1 nw:reportsTo ?mgr . ?mgr nw:firstName ?fn ; nw:lastName ?ln . }"
28,medium,single_hop,Which territories does employee Andrew Fuller serve?,"PREFIX nw: <http://example.org/northwind#> SELECT ?desc WHERE { nw:employee_2 nw:servesTerritory ?terr . ?terr nw:territoryDescription ?desc . }"
29,medium,single_hop,List the order lines for order 10258.,"PREFIX nw: <http://example.org/northwind#> SELECT ?ol WHERE { nw:order_10258 nw:hasOrderLine ?ol . }"
30,medium,single_hop,Which products are included in order line ol_10643_1?,"PREFIX nw: <http://example.org/northwind#> SELECT ?prodName WHERE { nw:ol_10643_1 nw:includesProduct ?prod . ?prod nw:productName ?prodName . }"
31,medium,single_hop,Which employees have Janet Leverling as their manager?,"PREFIX nw: <http://example.org/northwind#> SELECT ?fn ?ln WHERE { ?emp nw:reportsTo nw:employee_3 . ?emp nw:firstName ?fn ; nw:lastName ?ln . }"
32,medium,single_hop,List all orders handled by employee Nancy Davolio.,"PREFIX nw: <http://example.org/northwind#> SELECT ?orderID WHERE { ?order nw:handledBy nw:employee_1 ; nw:orderID ?orderID . }"
33,medium,single_hop,What products are in the Confections category?,"PREFIX nw: <http://example.org/northwind#> SELECT ?prodName WHERE { ?product nw:belongsToCategory nw:category_3 ; nw:productName ?prodName . }"
34,medium,single_hop,Which orders were shipped by Speedy Express?,"PREFIX nw: <http://example.org/northwind#> SELECT ?orderID WHERE { ?order nw:shippedBy nw:shipper_1 ; nw:orderID ?orderID . }"
35,medium,single_hop,Who are the direct reports of Andrew Fuller?,"PREFIX nw: <http://example.org/northwind#> SELECT ?fn ?ln WHERE { ?emp nw:reportsTo nw:employee_2 . ?emp nw:firstName ?fn ; nw:lastName ?ln . }"
36,medium,multi_hop,List the products ordered by customer ALFKI.,"PREFIX nw: <http://example.org/northwind#> SELECT DISTINCT ?prodName WHERE { ?order nw:placedBy nw:customer_ALFKI ; nw:hasOrderLine ?ol . ?ol nw:includesProduct ?prod . ?prod nw:productName ?prodName . }"
37,medium,multi_hop,Which region does employee Nancy Davolio serve through her territories?,"PREFIX nw: <http://example.org/northwind#> SELECT DISTINCT ?regionDesc WHERE { nw:employee_1 nw:servesTerritory ?terr . ?terr nw:inRegion ?region . ?region nw:regionDescription ?regionDesc . }"
38,medium,multi_hop,Which suppliers provide products that appear in order 10643?,"PREFIX nw: <http://example.org/northwind#> SELECT DISTINCT ?suppName WHERE { nw:order_10643 nw:hasOrderLine ?ol . ?ol nw:includesProduct ?prod . ?prod nw:suppliedBy ?supp . ?supp nw:companyName ?suppName . }"
39,medium,multi_hop,Which categories of products has customer BERGS ordered?,"PREFIX nw: <http://example.org/northwind#> SELECT DISTINCT ?catName WHERE { ?order nw:placedBy nw:customer_BERGS ; nw:hasOrderLine ?ol . ?ol nw:includesProduct ?prod . ?prod nw:belongsToCategory ?cat . ?cat nw:categoryName ?catName . }"
40,medium,multi_hop,Which customers have ordered products supplied by Exotic Liquids?,"PREFIX nw: <http://example.org/northwind#> SELECT DISTINCT ?compName WHERE { ?order nw:placedBy ?cust ; nw:hasOrderLine ?ol . ?ol nw:includesProduct ?prod . ?prod nw:suppliedBy nw:supplier_1 . ?cust nw:companyName ?compName . }"
41,medium,multi_hop,Which shippers have delivered orders containing Chai?,"PREFIX nw: <http://example.org/northwind#> SELECT DISTINCT ?shipperName WHERE { ?order nw:hasOrderLine ?ol ; nw:shippedBy ?shipper . ?ol nw:includesProduct nw:product_1 . ?shipper nw:companyName ?shipperName . }"
42,medium,multi_hop,Which employees handled orders for customer Ernst Handel?,"PREFIX nw: <http://example.org/northwind#> SELECT DISTINCT ?fn ?ln WHERE { ?order nw:placedBy nw:customer_ERNSH ; nw:handledBy ?emp . ?emp nw:firstName ?fn ; nw:lastName ?ln . }"
43,medium,multi_hop,List the category names for products in order 10258.,"PREFIX nw: <http://example.org/northwind#> SELECT DISTINCT ?catName WHERE { nw:order_10258 nw:hasOrderLine ?ol . ?ol nw:includesProduct ?prod . ?prod nw:belongsToCategory ?cat . ?cat nw:categoryName ?catName . }"
44,medium,multi_hop,Which regions do territories served by Janet Leverling belong to?,"PREFIX nw: <http://example.org/northwind#> SELECT DISTINCT ?regionDesc WHERE { nw:employee_3 nw:servesTerritory ?terr . ?terr nw:inRegion ?region . ?region nw:regionDescription ?regionDesc . }"
45,medium,multi_hop,"Which customers ordered products from the category Beverages, and which shipper delivered those orders?","PREFIX nw: <http://example.org/northwind#> SELECT DISTINCT ?compName ?shipperName WHERE { ?order nw:placedBy ?cust ; nw:hasOrderLine ?ol ; nw:shippedBy ?shipper . ?ol nw:includesProduct ?prod . ?prod nw:belongsToCategory nw:category_1 . ?cust nw:companyName ?compName . ?shipper nw:companyName ?shipperName . }"
46,medium,multi_hop,Which supplier provides the product included in order line ol_10290_1?,"PREFIX nw: <http://example.org/northwind#> SELECT ?suppName WHERE { nw:ol_10290_1 nw:includesProduct ?prod . ?prod nw:suppliedBy ?supp . ?supp nw:companyName ?suppName . }"
47,medium,multi_hop,What is the company name of the customer whose order was handled by Andrew Fuller and shipped by Speedy Express?,"PREFIX nw: <http://example.org/northwind#> SELECT ?compName WHERE { ?order nw:handledBy nw:employee_2 ; nw:shippedBy nw:shipper_1 ; nw:placedBy ?cust . ?cust nw:companyName ?compName . }"
48,medium,multi_hop,Which employees handle orders that contain the product Northwoods Cranberry Sauce?,"PREFIX nw: <http://example.org/northwind#> SELECT DISTINCT ?fn ?ln WHERE { ?order nw:hasOrderLine ?ol ; nw:handledBy ?emp . ?ol nw:includesProduct nw:product_8 . ?emp nw:firstName ?fn ; nw:lastName ?ln . }"
49,medium,multi_hop,List the product names and their suppliers for all order lines in order 10278.,"PREFIX nw: <http://example.org/northwind#> SELECT ?prodName ?suppName WHERE { nw:order_10278 nw:hasOrderLine ?ol . ?ol nw:includesProduct ?prod . ?prod nw:productName ?prodName ; nw:suppliedBy ?supp . ?supp nw:companyName ?suppName . }"
50,medium,multi_hop,Which territory descriptions correspond to the regions served by employees who handled orders for COMMI?,"PREFIX nw: <http://example.org/northwind#> SELECT DISTINCT ?terrDesc WHERE { ?order nw:placedBy nw:customer_COMMI ; nw:handledBy ?emp . ?emp nw:servesTerritory ?terr . ?terr nw:territoryDescription ?terrDesc . }"
51,medium,aggregation,How many orders has each customer placed?,"PREFIX nw: <http://example.org/northwind#> SELECT ?compName (COUNT(?order) AS ?orderCount) WHERE { ?order nw:placedBy ?cust . ?cust nw:companyName ?compName . } GROUP BY ?compName"
52,medium,aggregation,How many products are in each category?,"PREFIX nw: <http://example.org/northwind#> SELECT ?catName (COUNT(?product) AS ?prodCount) WHERE { ?product nw:belongsToCategory ?cat . ?cat nw:categoryName ?catName . } GROUP BY ?catName"
53,medium,aggregation,What is the average freight cost per shipper?,"PREFIX nw: <http://example.org/northwind#> SELECT ?shipperName (AVG(?freight) AS ?avgFreight) WHERE { ?order nw:shippedBy ?shipper ; nw:freight ?freight . ?shipper nw:companyName ?shipperName . } GROUP BY ?shipperName"
54,medium,aggregation,How many order lines does each order have?,"PREFIX nw: <http://example.org/northwind#> SELECT ?orderID (COUNT(?ol) AS ?lineCount) WHERE { ?order nw:orderID ?orderID ; nw:hasOrderLine ?ol . } GROUP BY ?orderID"
55,medium,aggregation,What is the total quantity ordered for each product?,"PREFIX nw: <http://example.org/northwind#> SELECT ?prodName (SUM(?qty) AS ?totalQty) WHERE { ?ol nw:includesProduct ?prod ; nw:quantity ?qty . ?prod nw:productName ?prodName . } GROUP BY ?prodName"
56,medium,aggregation,How many orders has each employee handled?,"PREFIX nw: <http://example.org/northwind#> SELECT ?fn ?ln (COUNT(?order) AS ?orderCount) WHERE { ?order nw:handledBy ?emp . ?emp nw:firstName ?fn ; nw:lastName ?ln . } GROUP BY ?fn ?ln"
57,medium,aggregation,What is the total freight cost for all orders placed by each customer?,"PREFIX nw: <http://example.org/northwind#> SELECT ?compName (SUM(?freight) AS ?totalFreight) WHERE { ?order nw:placedBy ?cust ; nw:freight ?freight . ?cust nw:companyName ?compName . } GROUP BY ?compName"
58,medium,aggregation,How many products does each supplier provide?,"PREFIX nw: <http://example.org/northwind#> SELECT ?suppName (COUNT(?product) AS ?prodCount) WHERE { ?product nw:suppliedBy ?supp . ?supp nw:companyName ?suppName . } GROUP BY ?suppName"
59,medium,aggregation,What is the average unit price of products per category?,"PREFIX nw: <http://example.org/northwind#> SELECT ?catName (AVG(?price) AS ?avgPrice) WHERE { ?product nw:belongsToCategory ?cat ; nw:productUnitPrice ?price . ?cat nw:categoryName ?catName . } GROUP BY ?catName"
60,medium,aggregation,How many territories does each employee serve?,"PREFIX nw: <http://example.org/northwind#> SELECT ?fn ?ln (COUNT(?terr) AS ?terrCount) WHERE { ?emp nw:servesTerritory ?terr . ?emp nw:firstName ?fn ; nw:lastName ?ln . } GROUP BY ?fn ?ln"
61,medium,aggregation,What is the total number of units in stock for each category?,"PREFIX nw: <http://example.org/northwind#> SELECT ?catName (SUM(?stock) AS ?totalStock) WHERE { ?product nw:belongsToCategory ?cat ; nw:unitsInStock ?stock . ?cat nw:categoryName ?catName . } GROUP BY ?catName"
62,medium,aggregation,How many orders were shipped by each shipper?,"PREFIX nw: <http://example.org/northwind#> SELECT ?shipperName (COUNT(?order) AS ?orderCount) WHERE { ?order nw:shippedBy ?shipper . ?shipper nw:companyName ?shipperName . } GROUP BY ?shipperName"
63,medium,aggregation,What is the average discount applied across all order lines for each product?,"PREFIX nw: <http://example.org/northwind#> SELECT ?prodName (AVG(?disc) AS ?avgDiscount) WHERE { ?ol nw:includesProduct ?prod ; nw:discount ?disc . ?prod nw:productName ?prodName . } GROUP BY ?prodName"
64,medium,aggregation,How many distinct products has each customer ordered?,"PREFIX nw: <http://example.org/northwind#> SELECT ?compName (COUNT(DISTINCT ?prod) AS ?distinctProducts) WHERE { ?order nw:placedBy ?cust ; nw:hasOrderLine ?ol . ?ol nw:includesProduct ?prod . ?cust nw:companyName ?compName . } GROUP BY ?compName"
65,medium,aggregation,What is the total number of order lines per employee?,"PREFIX nw: <http://example.org/northwind#> SELECT ?fn ?ln (COUNT(?ol) AS ?totalLines) WHERE { ?order nw:handledBy ?emp ; nw:hasOrderLine ?ol . ?emp nw:firstName ?fn ; nw:lastName ?ln . } GROUP BY ?fn ?ln"
66,medium,filter,Which products have units in stock below their reorder level?,"PREFIX nw: <http://example.org/northwind#> SELECT ?prodName ?stock ?reorder WHERE { ?product a nw:Product ; nw:productName ?prodName ; nw:unitsInStock ?stock ; nw:reorderLevel ?reorder . FILTER(?stock < ?reorder) }"
67,medium,filter,Which products are not discontinued?,"PREFIX nw: <http://example.org/northwind#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT ?prodName WHERE { ?product a nw:Product ; nw:productName ?prodName ; nw:discontinued ""false""^^xsd:boolean . }"
68,medium,filter,Which orders have a freight cost greater than 50?,"PREFIX nw: <http://example.org/northwind#> SELECT ?orderID ?freight WHERE { ?order a nw:Order ; nw:orderID ?orderID ; nw:freight ?freight . FILTER(?freight > 50) }"
69,medium,filter,Which products have a unit price between 15 and 25?,"PREFIX nw: <http://example.org/northwind#> SELECT ?prodName ?price WHERE { ?product a nw:Product ; nw:productName ?prodName ; nw:productUnitPrice ?price . FILTER(?price >= 15 && ?price <= 25) }"
70,medium,filter,Which orders do not have a shipped date yet?,"PREFIX nw: <http://example.org/northwind#> SELECT ?orderID WHERE { ?order a nw:Order ; nw:orderID ?orderID . FILTER NOT EXISTS { ?order nw:shippedDate ?sd . } }"
71,medium,filter,Which customers are not located in Germany?,"PREFIX nw: <http://example.org/northwind#> SELECT ?compName ?country WHERE { ?cust a nw:Customer ; nw:companyName ?compName ; nw:country ?country . FILTER(?country != ""Germany"") }"
72,medium,filter,Which order lines have a discount greater than zero?,"PREFIX nw: <http://example.org/northwind#> SELECT ?ol ?disc WHERE { ?ol a nw:OrderLine ; nw:discount ?disc . FILTER(?disc > 0) }"
73,medium,filter,Which employees were hired after 1992-05-01?,"PREFIX nw: <http://example.org/northwind#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT ?fn ?ln ?hireDate WHERE { ?emp a nw:Employee ; nw:firstName ?fn ; nw:lastName ?ln ; nw:hireDate ?hireDate . FILTER(?hireDate > ""1992-05-01T00:00:00""^^xsd:dateTime) }"
74,medium,filter,Which products have zero units on order?,"PREFIX nw: <http://example.org/northwind#> SELECT ?prodName WHERE { ?product a nw:Product ; nw:productName ?prodName ; nw:unitsOnOrder ?uoo . FILTER(?uoo = 0) }"
75,medium,filter,Which products have units in stock and are not discontinued?,"PREFIX nw: <http://example.org/northwind#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT ?prodName ?stock WHERE { ?product a nw:Product ; nw:productName ?prodName ; nw:unitsInStock ?stock ; nw:discontinued ""false""^^xsd:boolean . FILTER(?stock > 0) }"
76,hard,aggregation_having,Which customers have placed more than one order?,"PREFIX nw: <http://example.org/northwind#> SELECT ?compName (COUNT(?order) AS ?orderCount) WHERE { ?order nw:placedBy ?cust . ?cust nw:companyName ?compName . } GROUP BY ?compName HAVING (COUNT(?order) > 1)"
77,hard,aggregation_having,Which categories have an average product price above 20?,"PREFIX nw: <http://example.org/northwind#> SELECT ?catName (AVG(?price) AS ?avgPrice) WHERE { ?product nw:belongsToCategory ?cat ; nw:productUnitPrice ?price . ?cat nw:categoryName ?catName . } GROUP BY ?catName HAVING (AVG(?price) > 20)"
78,hard,aggregation_having,Which employees have handled more than 2 orders?,"PREFIX nw: <http://example.org/northwind#> SELECT ?fn ?ln (COUNT(?order) AS ?orderCount) WHERE { ?order nw:handledBy ?emp . ?emp nw:firstName ?fn ; nw:lastName ?ln . } GROUP BY ?fn ?ln HAVING (COUNT(?order) > 2)"
79,hard,aggregation_having,Which shippers have shipped more than 2 orders?,"PREFIX nw: <http://example.org/northwind#> SELECT ?shipperName (COUNT(?order) AS ?orderCount) WHERE { ?order nw:shippedBy ?shipper . ?shipper nw:companyName ?shipperName . } GROUP BY ?shipperName HAVING (COUNT(?order) > 2)"
80,hard,aggregation_having,Which products appear in more than 2 order lines?,"PREFIX nw: <http://example.org/northwind#> SELECT ?prodName (COUNT(?ol) AS ?lineCount) WHERE { ?ol nw:includesProduct ?prod . ?prod nw:productName ?prodName . } GROUP BY ?prodName HAVING (COUNT(?ol) > 2)"
81,hard,aggregation_having,Which suppliers supply more than 3 products?,"PREFIX nw: <http://example.org/northwind#> SELECT ?suppName (COUNT(?product) AS ?prodCount) WHERE { ?product nw:suppliedBy ?supp . ?supp nw:companyName ?suppName . } GROUP BY ?suppName HAVING (COUNT(?product) > 3)"
82,hard,aggregation_having,Which customers have a total freight cost exceeding 100?,"PREFIX nw: <http://example.org/northwind#> SELECT ?compName (SUM(?freight) AS ?totalFreight) WHERE { ?order nw:placedBy ?cust ; nw:freight ?freight . ?cust nw:companyName ?compName . } GROUP BY ?compName HAVING (SUM(?freight) > 100)"
83,hard,aggregation_having,Which orders have more than 2 order lines?,"PREFIX nw: <http://example.org/northwind#> SELECT ?orderID (COUNT(?ol) AS ?lineCount) WHERE { ?order nw:orderID ?orderID ; nw:hasOrderLine ?ol . } GROUP BY ?orderID HAVING (COUNT(?ol) > 2)"
84,hard,multi_hop_aggregate,What is the total revenue per category (quantity times unit price across all order lines)?,"PREFIX nw: <http://example.org/northwind#> SELECT ?catName (SUM(?qty * ?price) AS ?totalRevenue) WHERE { ?ol nw:includesProduct ?prod ; nw:quantity ?qty ; nw:olUnitPrice ?price . ?prod nw:belongsToCategory ?cat . ?cat nw:categoryName ?catName . } GROUP BY ?catName"
85,hard,multi_hop_aggregate,What is the average discount by supplier across all order lines?,"PREFIX nw: <http://example.org/northwind#> SELECT ?suppName (AVG(?disc) AS ?avgDiscount) WHERE { ?ol nw:includesProduct ?prod ; nw:discount ?disc . ?prod nw:suppliedBy ?supp . ?supp nw:companyName ?suppName . } GROUP BY ?suppName"
86,hard,multi_hop_aggregate,What is the total quantity of products ordered per customer?,"PREFIX nw: <http://example.org/northwind#> SELECT ?compName (SUM(?qty) AS ?totalQty) WHERE { ?order nw:placedBy ?cust ; nw:hasOrderLine ?ol . ?ol nw:quantity ?qty . ?cust nw:companyName ?compName . } GROUP BY ?compName"
87,hard,multi_hop_aggregate,How many distinct suppliers have provided products ordered by each customer?,"PREFIX nw: <http://example.org/northwind#> SELECT ?compName (COUNT(DISTINCT ?supp) AS ?supplierCount) WHERE { ?order nw:placedBy ?cust ; nw:hasOrderLine ?ol . ?ol nw:includesProduct ?prod . ?prod nw:suppliedBy ?supp . ?cust nw:companyName ?compName . } GROUP BY ?compName"
88,hard,multi_hop_aggregate,What is the total revenue handled by each employee?,"PREFIX nw: <http://example.org/northwind#> SELECT ?fn ?ln (SUM(?qty * ?price) AS ?totalRevenue) WHERE { ?order nw:handledBy ?emp ; nw:hasOrderLine ?ol . ?ol nw:quantity ?qty ; nw:olUnitPrice ?price . ?emp nw:firstName ?fn ; nw:lastName ?ln . } GROUP BY ?fn ?ln"
89,hard,multi_hop_aggregate,What is the average order line quantity per region?,"PREFIX nw: <http://example.org/northwind#> SELECT ?regionDesc (AVG(?qty) AS ?avgQty) WHERE { ?order nw:handledBy ?emp ; nw:hasOrderLine ?ol . ?ol nw:quantity ?qty . ?emp nw:servesTerritory ?terr . ?terr nw:inRegion ?region . ?region nw:regionDescription ?regionDesc . } GROUP BY ?regionDesc"
90,hard,multi_hop_aggregate,How many distinct categories of products has each shipper delivered?,"PREFIX nw: <http://example.org/northwind#> SELECT ?shipperName (COUNT(DISTINCT ?cat) AS ?catCount) WHERE { ?order nw:shippedBy ?shipper ; nw:hasOrderLine ?ol . ?ol nw:includesProduct ?prod . ?prod nw:belongsToCategory ?cat . ?shipper nw:companyName ?shipperName . } GROUP BY ?shipperName"
91,hard,negation_optional,Which products have never been ordered?,"PREFIX nw: <http://example.org/northwind#> SELECT ?prodName WHERE { ?product a nw:Product ; nw:productName ?prodName . FILTER NOT EXISTS { ?ol nw:includesProduct ?product . } }"
92,hard,negation_optional,Which employees are not assigned to any territory?,"PREFIX nw: <http://example.org/northwind#> SELECT ?fn ?ln WHERE { ?emp a nw:Employee ; nw:firstName ?fn ; nw:lastName ?ln . FILTER NOT EXISTS { ?emp nw:servesTerritory ?terr . } }"
93,hard,negation_optional,Which customers have never placed an order?,"PREFIX nw: <http://example.org/northwind#> SELECT ?compName WHERE { ?cust a nw:Customer ; nw:companyName ?compName . FILTER NOT EXISTS { ?order nw:placedBy ?cust . } }"
94,hard,negation_optional,Which employees do not report to any manager?,"PREFIX nw: <http://example.org/northwind#> SELECT ?fn ?ln WHERE { ?emp a nw:Employee ; nw:firstName ?fn ; nw:lastName ?ln . FILTER NOT EXISTS { ?emp nw:reportsTo ?mgr . } }"
95,hard,negation_optional,Which territories have no employees assigned to them?,"PREFIX nw: <http://example.org/northwind#> SELECT ?terrDesc WHERE { ?terr a nw:Territory ; nw:territoryDescription ?terrDesc . FILTER NOT EXISTS { ?emp nw:servesTerritory ?terr . } }"
96,hard,constraint_reasoning,Which products need reordering (units in stock below reorder level and not discontinued)?,"PREFIX nw: <http://example.org/northwind#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT ?prodName ?stock ?reorder WHERE { ?product a nw:Product ; nw:productName ?prodName ; nw:unitsInStock ?stock ; nw:reorderLevel ?reorder ; nw:discontinued ""false""^^xsd:boolean . FILTER(?stock < ?reorder) }"
97,hard,constraint_reasoning,Are there any orders that have no order lines?,"PREFIX nw: <http://example.org/northwind#> SELECT ?orderID WHERE { ?order a nw:Order ; nw:orderID ?orderID . FILTER NOT EXISTS { ?order nw:hasOrderLine ?ol . } }"
98,hard,constraint_reasoning,Are there any order lines where the discount is outside the valid range of 0 to 1?,"PREFIX nw: <http://example.org/northwind#> SELECT ?ol ?disc WHERE { ?ol a nw:OrderLine ; nw:discount ?disc . FILTER(?disc < 0 || ?disc > 1) }"
99,hard,constraint_reasoning,Which employees report to themselves (violating the irreflexive constraint on reportsTo)?,"PREFIX nw: <http://example.org/northwind#> SELECT ?fn ?ln WHERE { ?emp a nw:Employee ; nw:firstName ?fn ; nw:lastName ?ln ; nw:reportsTo ?emp . }"
100,hard,constraint_reasoning,Are there any products that are discontinued but still appear in orders with a shipped date after their discontinuation?,"PREFIX nw: <http://example.org/northwind#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT DISTINCT ?prodName ?orderID WHERE { ?ol nw:includesProduct ?prod ; nw:belongsToOrder ?order . ?prod nw:productName ?prodName ; nw:discontinued ""true""^^xsd:boolean . ?order nw:orderID ?orderID . }"
